,Unnamed: 0,aimAction,aimPlayerGridList,avoidCommitPoint,conditionName,crossPoint,decisionSteps,goal,name,noiseNumber,noisePoint,obstacles,playerGrid,reactionTime,target1,target2,targetDiff,trajectory,participantsType,trajLength,goalPosteriorList
103,103,"[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0)]","[(1, 2), (1, 3), (2, 2), (3, 2), (3, 2), (4, 2), (5, 2), (6, 2), (6, 3), (7, 3), (8, 3), (9, 3), (9, 4), (10, 4), (11, 4)]","(1, 2)",expCondition2,"(4, 4)",0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]",noise0.0667_softmaxBeta2.5_6,1,[4],"[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (4, 13), (4, 12), (2, 0), (2, 12), (11, 10), (5, 13), (8, 9), (8, 1), (4, 0), (3, 1), (2, 1), (11, 9), (10, 11)]","(0, 2)","[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3]","(11, 4)","(4, 11)",0,"[(0, 2), [1, 2], [1, 2], [2, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [6, 3], [7, 3], [8, 3], [9, 3], [9, 4], [10, 4], [11, 4]]",RL Agent,16,"[0.5, 0.527236926439156, 0.5367304242392169, 0.5367304237627276, 0.7380721381454093, 0.8726680776259628, 0.9998798795948228, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
108,108,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(2, 14), (3, 14), (2, 14), (3, 14), (4, 14), (4, 13), (5, 13), (5, 12), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11)]","(2, 13)",expCondition1,"(3, 11)",1,"[0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 2, 2, 2, 2]",noise0.0667_softmaxBeta2.5_6,1,[2],"[(1, 13), (3, 13), (1, 11), (2, 1), (5, 3), (13, 1), (13, 13), (13, 6), (4, 4), (8, 5), (7, 6), (0, 10), (12, 4), (10, 9), (6, 9), (8, 3), (7, 4), (10, 5)]","(1, 14)","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3]","(3, 4)","(10, 11)",0,"[(1, 14), [2, 14], [1, 14], [2, 14], [3, 14], [4, 14], [4, 13], [5, 13], [5, 12], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [10, 11]]",RL Agent,15,"[0.5, 0.5000000025935404, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
117,117,"[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(0, 13), (1, 13), (2, 13), (3, 13), (4, 13), (5, 13), (4, 13), (5, 13), (6, 13), (7, 13), (7, 12), (7, 14), (8, 14), (8, 13), (8, 12), (8, 11), (8, 10)]","(3, 11)",expCondition1,"(4, 10)",4,"[0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0]",noise0.0667_softmaxBeta2.5_6,2,"[6, 11]","[(2, 12), (0, 12), (4, 12), (2, 14), (2, 10), (6, 3), (7, 5), (11, 9), (4, 5), (0, 2), (12, 2), (8, 8), (10, 9), (8, 7), (9, 5), (13, 10), (9, 14), (10, 5)]","(0, 14)","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4]","(4, 6)","(8, 10)",0,"[(0, 14), [0, 13], [1, 13], [2, 13], [3, 13], [4, 13], [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [6, 14], [7, 14], [8, 14], [8, 13], [8, 12], [8, 11], [8, 10]]",RL Agent,18,"[0.5, 0.492196622588968, 0.4921966225840635, 0.8897635848152328, 0.8897635848160415, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
118,118,"[(-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]","[(13, 14), (13, 13), (12, 13), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (9, 13), (8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (6, 10), (5, 10), (5, 9)]","(10, 10)",expCondition1,"(9, 9)",6,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0]",noise0.0667_softmaxBeta2.5_6,1,[8],"[(11, 11), (10, 14), (11, 13), (11, 9), (9, 11), (13, 11), (14, 10), (4, 10), (11, 4), (13, 1), (9, 3), (8, 5), (4, 8), (3, 8), (12, 3), (14, 4), (7, 4), (3, 9)]","(14, 14)","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4]","(5, 9)","(9, 5)",0,"[(14, 14), [13, 14], [13, 13], [12, 13], [12, 12], [11, 12], [10, 12], [9, 12], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [6, 12], [6, 11], [6, 10], [5, 10], [5, 9]]",RL Agent,18,"[0.5, 0.500112653986507, 0.4991565555493142, 0.5041178188813287, 0.5041178188868343, 0.9008039515179648, 0.9008039515187414, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
129,129,"[(0, -1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[(14, -1), (14, 1), (13, 1), (13, 2), (12, 2), (11, 2), (10, 2), (10, 3), (10, 4), (10, 5), (10, 6), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9)]","(10, 4)",expCondition1,"(9, 5)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",noise0.0667_softmaxBeta2.5_6,1,[11],"[(11, 3), (14, 4), (13, 3), (9, 3), (11, 5), (11, 1), (10, 0), (12, 10), (2, 0), (6, 11), (6, 12), (4, 3), (5, 13), (4, 10), (4, 9), (7, 6), (10, 13), (1, 9)]","(14, 0)","[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3]","(9, 9)","(5, 5)",0,"[(14, 0), [14, 0], [14, 1], [13, 1], [13, 2], [12, 2], [11, 2], [10, 2], [10, 3], [10, 4], [10, 5], [10, 5], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9]]",RL Agent,17,"[0.5, 0.49945974435984114, 0.49957301594070813, 0.49860674134688127, 0.5035959290273122, 0.5035959290323598, 0.10553680618127198, 0.10553680618050004, 0.2581807043005708, 0.2581807043005704, 0.9992749062029584, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
134,134,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (6, 2), (6, 3), (6, 4), (7, 4), (8, 4)]","(2, 2)",expCondition2,"(4, 4)",2,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",noise0.0667_softmaxBeta2.5_6,0,[],"[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (6, 9), (6, 8), (2, 10), (7, 12), (11, 1), (12, 0), (8, 6), (6, 6), (4, 9), (9, 10), (8, 10), (5, 10), (1, 9)]","(0, 0)","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","(8, 4)","(4, 8)",0,"[(0, 0), [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [5, 2], [6, 2], [6, 3], [6, 4], [7, 4], [8, 4]]",RL Agent,13,"[0.5, 0.7416575598326925, 0.7416575600185423, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
140,140,"[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (5, 2), (5, 3), (6, 3), (7, 3)]","(2, 2)",expCondition1,"(3, 3)",2,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",noise0.0667_softmaxBeta2.5_6,1,[4],"[(1, 1), (1, 3), (3, 1), (8, 2), (5, 5), (3, 8), (10, 0), (13, 10), (11, 11), (4, 5), (1, 8), (0, 10), (10, 1), (11, 8), (11, 9), (13, 4), (12, 10), (9, 12)]","(0, 0)","[0, 0, 0, 1, 1, 1, 1, 1, 2, 2]","(7, 3)","(3, 7)",0,"[(0, 0), [1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3], [7, 3]]",RL Agent,11,"[0.5, 0.8129531470076725, 0.8129531470088317, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
142,142,"[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]","[(2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (8, 2), (9, 2), (8, 3), (9, 3), (10, 3), (11, 3), (11, 4)]","(2, 1)",expCondition2,"(4, 4)",1,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0]",noise0.0667_softmaxBeta2.5_6,2,"[9, 10]","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (13, 10), (12, 11), (0, 12), (8, 6), (6, 13), (11, 11), (0, 4), (6, 6), (8, 8), (9, 12), (0, 9), (12, 12), (13, 5)]","(1, 0)","[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3]","(11, 4)","(4, 11)",0,"[(1, 0), [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [8, 2], [8, 3], [9, 3], [10, 3], [11, 3], [11, 4]]",RL Agent,16,"[0.5, 0.5000000589190651, 0.9999999999998853, 0.9999999999999574, 0.9999999999999574, 0.9999999999999223, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
146,146,"[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[(2, 14), (3, 14), (4, 14), (5, 14), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (9, 12), (9, 11), (9, 10)]","(2, 13)",expCondition2,"(4, 10)",1,"[0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 0, 0]",noise0.0667_softmaxBeta2.5_6,0,[],"[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (0, 5), (8, 9), (13, 13), (13, 6), (13, 2), (4, 3), (6, 6), (12, 10), (9, 4), (10, 4), (8, 5), (0, 2), (10, 9)]","(1, 14)","[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","(4, 5)","(9, 10)",0,"[(1, 14), [2, 14], [3, 14], [4, 14], [5, 14], [5, 13], [6, 13], [7, 13], [8, 13], [9, 13], [9, 12], [9, 11], [9, 10]]",RL Agent,13,"[0.5, 0.5000000018622625, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
147,147,"[(0, -1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(14, -1), (13, 0), (12, 0), (12, 1), (12, 2), (11, 2), (10, 2), (10, 3), (10, 4), (9, 4), (9, 5), (8, 5), (7, 5), (7, 6), (5, 6), (4, 6), (3, 6), (2, 6)]","(10, 4)",expCondition2,"(8, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2]",noise0.0667_softmaxBeta2.5_6,1,[14],"[(11, 3), (14, 4), (13, 3), (9, 3), (11, 5), (11, 1), (10, 0), (8, 3), (11, 6), (1, 8), (1, 10), (1, 12), (2, 12), (6, 7), (1, 2), (1, 11), (6, 11), (7, 9)]","(14, 0)","[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","(8, 12)","(2, 6)",0,"[(14, 0), [14, 0], [13, 0], [12, 0], [12, 1], [12, 2], [11, 2], [10, 2], [10, 3], [10, 4], [9, 4], [9, 5], [8, 5], [7, 5], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6]]",RL Agent,19,"[0.5, 0.49997548997743524, 0.5000299030584906, 0.5015613132400348, 0.501561320686526, 0.501561322553057, 0.7372835170701296, 0.737283526828275, 0.6705387458969592, 0.6705387459505658, 0.849547670876038, 0.6013596738912873, 0.9998623062244519, 1.0, 1.0, 1.0, 1.0]"
148,148,"[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[(14, 13), (14, 12), (13, 12), (13, 12), (12, 12), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11), (6, 11), (6, 10), (5, 10)]","(12, 12)",expCondition2,"(10, 10)",2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",noise0.0667_softmaxBeta2.5_6,1,[3],"[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (1, 5), (7, 9), (3, 3), (9, 5), (8, 9), (10, 2), (8, 6), (13, 3), (1, 6), (2, 9), (7, 7), (2, 10), (9, 2)]","(14, 14)","[1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]","(5, 10)","(10, 5)",0,"[(14, 14), [14, 13], [14, 12], [14, 12], [13, 12], [12, 12], [12, 11], [11, 11], [10, 11], [9, 11], [8, 11], [7, 11], [6, 11], [6, 10], [5, 10]]",RL Agent,15,"[0.5, 0.2812642661252137, 0.2812642646005579, 0.288747099766108, 0.2963469282239752, 0.2963469282195347, 0.1313026600708418, 0.3513398784183706, 0.9993187761936196, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
149,149,"[(0, -1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[(14, -1), (13, 0), (13, 1), (12, 1), (11, 1), (10, 1), (9, 1), (8, 1), (8, 2), (8, 3), (8, 4), (7, 4), (6, 4), (7, 3), (6, 3), (5, 3), (4, 3), (4, 4)]","(11, 3)",expCondition1,"(10, 4)",4,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]",noise0.0667_softmaxBeta2.5_6,1,[13],"[(12, 2), (14, 2), (10, 2), (12, 0), (12, 4), (9, 6), (6, 8), (7, 7), (2, 5), (5, 6), (12, 12), (12, 11), (13, 12), (3, 13), (14, 11), (5, 9), (9, 9), (2, 8)]","(14, 0)","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4]","(10, 10)","(4, 4)",0,"[(14, 0), [14, 0], [13, 0], [13, 1], [12, 1], [11, 1], [10, 1], [9, 1], [8, 1], [8, 2], [8, 3], [8, 4], [7, 4], [8, 3], [7, 3], [6, 3], [5, 3], [4, 3], [4, 4]]",RL Agent,19,"[0.5, 0.49923713873382436, 0.5062033511017937, 0.506203351762435, 0.8773727363199042, 0.8773727364880958, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
150,150,"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (2, 2), (2, 3), (2, 4), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9)]","(2, 2)",expCondition1,"(3, 3)",2,"[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 2, 2, 2, 2]",noise0.0667_softmaxBeta2.5_6,1,[6],"[(1, 1), (1, 3), (3, 1), (4, 11), (8, 5), (2, 13), (12, 8), (5, 4), (13, 3), (11, 7), (8, 11), (1, 13), (8, 8), (8, 13), (10, 7), (13, 10), (1, 12), (11, 5)]","(0, 0)","[0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]","(9, 3)","(3, 9)",0,"[(0, 0), [0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9]]",RL Agent,16,"[0.5, 0.7681329386221944, 0.7681329388292902, 0.6251983338930761, 0.6251983338935589, 0.0007097160648319725, 6.821573745315859e-29, 6.821573745305303e-29, 4.351804478501763e-25, 0.9964282566450404, 0.25666320508926466, 1.0, 1.0, 1.0, 1.0, 1.0]"
156,156,"[(-1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0)]","[(-1, 14), (0, 13), (0, 12), (1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (7, 11), (7, 10), (8, 10), (8, 9), (10, 9), (11, 8)]","(4, 10)",expCondition2,"(6, 8)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 2]",noise0.0667_softmaxBeta2.5_6,2,"[14, 15]","[(3, 11), (0, 10), (1, 11), (5, 11), (3, 9), (3, 13), (4, 14), (6, 11), (3, 8), (8, 6), (11, 3), (10, 1), (13, 10), (7, 3), (11, 2), (13, 4), (8, 3), (9, 4)]","(0, 14)","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]","(6, 3)","(11, 8)",0,"[(0, 14), [0, 14], [0, 13], [0, 12], [1, 12], [2, 12], [3, 12], [4, 12], [5, 12], [6, 12], [7, 12], [7, 11], [7, 10], [8, 10], [9, 9], [10, 8], [11, 8]]",RL Agent,17,"[0.5, 0.4997692118594803, 0.49970797066925127, 0.497900080153558, 0.49790008006472936, 0.49790008008058045, 0.758791254506974, 0.7587912559990571, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
160,160,"[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, 1), (1, 0), (1, 0)]","[(0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (1, 9), (1, 8), (1, 7), (1, 6), (2, 6), (2, 6), (3, 6), (4, 6)]","(2, 12)",expCondition2,"(4, 10)",2,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0]",noise0.0667_softmaxBeta2.5_6,1,[10],"[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (13, 1), (9, 1), (13, 5), (0, 1), (11, 4), (5, 2), (12, 11), (8, 1), (0, 5), (1, 4), (1, 3), (13, 10), (6, 2)]","(0, 14)","[1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3]","(4, 6)","(8, 10)",0,"[(0, 14), [0, 13], [0, 12], [0, 11], [0, 10], [0, 9], [1, 9], [1, 8], [1, 7], [1, 6], [2, 5], [2, 6], [3, 6], [4, 6]]",RL Agent,14,"[0.5, 0.7416420520483475, 0.7416420522318043, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
168,168,"[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0)]","[(0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (1, 9), (0, 9), (1, 9), (2, 9), (3, 9), (2, 7), (2, 6), (3, 6), (4, 6)]","(2, 12)",expCondition2,"(4, 10)",2,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]",noise0.0667_softmaxBeta2.5_6,2,"[6, 10]","[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (11, 3), (9, 3), (10, 1), (11, 12), (11, 9), (6, 2), (12, 9), (12, 8), (11, 5), (3, 2), (7, 8), (6, 3), (13, 12)]","(0, 14)","[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3]","(4, 6)","(8, 10)",0,"[(0, 14), [0, 13], [0, 12], [0, 11], [0, 10], [0, 9], [0, 10], [0, 9], [1, 9], [2, 9], [2, 8], [2, 7], [2, 6], [3, 6], [4, 6]]",RL Agent,15,"[0.5, 0.7416589427100644, 0.7416589428934754, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
176,176,"[(-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[(13, 14), (12, 14), (12, 13), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (7, 12), (8, 12), (7, 12), (7, 11), (6, 11), (6, 10), (6, 9), (5, 9), (4, 9), (3, 9), (2, 9), (2, 8)]","(10, 10)",expCondition2,"(8, 8)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0]",noise0.0667_softmaxBeta2.5_6,2,"[10, 11]","[(11, 11), (10, 14), (11, 13), (11, 9), (9, 11), (13, 11), (14, 10), (11, 8), (8, 11), (2, 6), (14, 1), (1, 8), (4, 7), (1, 4), (4, 6), (3, 7), (2, 1), (3, 4)]","(14, 14)","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5]","(2, 8)","(8, 2)",0,"[(14, 14), [13, 14], [12, 14], [12, 13], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [8, 12], [8, 13], [8, 12], [7, 12], [7, 11], [6, 11], [6, 10], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [2, 8]]",RL Agent,23,"[0.5, 0.5000537046084981, 0.5017961078943818, 0.5017960266243628, 0.5017960045463322, 0.7369900359073707, 0.736990044063643, 0.9999999999999998, 0.9999999999999999, 0.9999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
180,180,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (10, 3)]","(1, 2)",expCondition1,"(3, 3)",0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",noise0.0667_softmaxBeta2.5_6,0,[],"[(1, 1), (1, 3), (3, 1), (2, 11), (1, 11), (10, 13), (6, 13), (11, 11), (5, 8), (13, 11), (8, 5), (12, 11), (13, 0), (11, 6), (5, 11), (7, 1), (13, 1), (8, 8)]","(0, 2)","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","(10, 3)","(3, 10)",0,"[(0, 2), [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [10, 2], [10, 3]]",RL Agent,12,"[0.5, 0.6825242839422843, 0.6825242839351944, 0.9997928495671174, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
181,181,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]","[(2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (8, 1), (8, 3)]","(2, 1)",expCondition1,"(3, 3)",1,"[0, 0, 1, 1, 1, 1, 0, 1, 0]",noise0.0667_softmaxBeta2.5_6,1,[8],"[(1, 1), (1, 3), (3, 1), (10, 11), (9, 0), (11, 10), (4, 7), (4, 12), (9, 9), (10, 5), (6, 12), (4, 11), (10, 6), (12, 11), (13, 11), (7, 6), (1, 9), (13, 8)]","(1, 0)","[0, 1, 1, 1, 1, 1, 2, 2, 2]","(8, 3)","(3, 8)",0,"[(1, 0), [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [7, 1], [8, 2], [8, 3]]",RL Agent,10,"[0.5, 0.5000000000279474, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
191,191,"[(1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]","[(2, 14), (2, 13), (2, 12), (3, 12), (4, 12), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (8, 12), (9, 12), (9, 11), (10, 11)]","(2, 13)",expCondition1,"(3, 11)",1,"[0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 2]",noise0.0667_softmaxBeta2.5_6,1,[10],"[(1, 13), (3, 13), (1, 11), (3, 3), (13, 5), (9, 4), (7, 5), (0, 2), (5, 1), (0, 8), (11, 11), (12, 1), (4, 5), (9, 10), (12, 14), (8, 10), (8, 2), (12, 6)]","(1, 14)","[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","(3, 4)","(10, 11)",0,"[(1, 14), [2, 14], [2, 13], [2, 12], [3, 12], [4, 12], [4, 11], [5, 11], [6, 11], [7, 11], [7, 12], [8, 12], [9, 12], [9, 11], [10, 11]]",RL Agent,15,"[0.5, 0.5000000024828065, 0.30029124382067174, 0.300291243825439, 0.9993753089855073, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
